RecordType,Category,Amount,EmployeeRole,Shift,ContractType,Campaign,Service,ProjectedExpense,ActualExpense,CustomerType,FoodSegment,VisitDateTime
Marketing Spend,Advertising,1447.36,,,,Spring Promo,,,,Seldom,Wine,4/13/2024
Tech Fee,Tech Services,120.21,,,,,CRM Platform,,,First-timer,Continental,09-01-2024
Employee Salary,Payroll,3404.46,Bartender,Night,Full-time,,,,,Regular,Irish,08-12-2024
Employee Salary,Payroll,1849.36,Cleaner,Evening,Part-time,,,,,Regular,Continental,9/21/2024
Marketing Spend,Advertising,4398.87,,,,Spring Promo,,,,Tourist,Wine,5/31/2024
Variable Cost,Marketing Campaign,169.96,,,,,,,,Tourist,Wine,1/26/2025
Fixed Cost,Rent,2861.49,,,,,,,,First-timer,Snacks,7/22/2024
Variable Cost,Marketing Campaign,2992.23,,,,,,,,First-timer,Wine,04-02-2024
Projected vs Actual,Expense Monitoring,,,,,,,1179.55,1416.32,Tourist,Continental,7/20/2024
Marketing Spend,Advertising,6885.97,,,,Christmas Special,,,,Tourist,Continental,09-09-2024
Fixed Cost,Insurance,4369.73,,,,,,,,First-timer,Wine,11/19/2024
Tech Fee,Tech Services,79.27,,,,,CRM Platform,,,Regular,Wine,11/28/2024
Marketing Spend,Advertising,6766.3,,,,Spring Promo,,,,First-timer,Snacks,3/28/2024
Variable Cost,Marketing Campaign,3115.68,,,,,,,,Tourist,Wine,1/26/2025
Tech Fee,Tech Services,357.9,,,,,Website Hosting,,,First-timer,Continental,9/14/2024
Marketing Spend,Advertising,4347.98,,,,Christmas Special,,,,Regular,Continental,5/16/2024
Employee Salary,Payroll,2700.62,Chef,Evening,Part-time,,,,,First-timer,Wine,6/14/2024
Projected vs Actual,Expense Monitoring,,,,,,,4600.33,3970.04,First-timer,Snacks,10/27/2024
Variable Cost,Marketing Campaign,4552.57,,,,,,,,Regular,Irish,07-10-2024
Variable Cost,Marketing Campaign,9273.92,,,,,,,,Regular,Wine,12/16/2024
Projected vs Actual,Expense Monitoring,,,,,,,1969.87,1060.32,Regular,Wine,1/13/2025
Tech Fee,Tech Services,386.29,,,,,Website Hosting,,,Regular,Snacks,7/30/2024
Tech Fee,Tech Services,210.54,,,,,Website Hosting,,,Tourist,Wine,02-12-2025
Marketing Spend,Advertising,3890.33,,,,New Menu Launch,,,,Seldom,Wine,5/29/2024
Fixed Cost,Rent,4109.89,,,,,,,,Seldom,Wine,1/27/2025
Fixed Cost,Rent,4940.99,,,,,,,,Tourist,Irish,11/27/2024
Fixed Cost,Insurance,4169.58,,,,,,,,Seldom,Continental,1/19/2025
Fixed Cost,Insurance,4055.79,,,,,,,,Tourist,Irish,7/14/2024
Employee Salary,Payroll,3604.31,Cleaner,Evening,Contract,,,,,Tourist,Wine,8/24/2024
Marketing Spend,Advertising,5980.26,,,,Christmas Special,,,,Regular,Continental,09-04-2024
Marketing Spend,Advertising,848.79,,,,Summer Happy Hour,,,,Tourist,Continental,7/17/2024
Projected vs Actual,Expense Monitoring,,,,,,,2938.87,3398.08,Tourist,Snacks,05-05-2024
Projected vs Actual,Expense Monitoring,,,,,,,7154.1,7098.530000000001,First-timer,Wine,05-08-2024
Tech Fee,Tech Services,370.96,,,,,CRM Platform,,,Seldom,Irish,02-11-2025
Fixed Cost,Rent,3025.75,,,,,,,,Tourist,Continental,04-09-2024
Projected vs Actual,Expense Monitoring,,,,,,,4203.47,4248.9400000000005,Seldom,Wine,7/13/2024
Variable Cost,Marketing Campaign,4449.43,,,,,,,,Regular,Snacks,12-06-2024
Employee Salary,Payroll,1557.33,Chef,Morning,Part-time,,,,,First-timer,Continental,01-12-2025
Tech Fee,Tech Services,390.0,,,,,CRM Platform,,,Regular,Snacks,12-06-2024
Marketing Spend,Advertising,723.46,,,,Spring Promo,,,,First-timer,Snacks,06-04-2024
Employee Salary,Payroll,3497.42,Bartender,Evening,Part-time,,,,,Regular,Snacks,6/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,5250.53,5993.45,Regular,Wine,10-06-2024
Marketing Spend,Advertising,1468.68,,,,New Menu Launch,,,,First-timer,Irish,6/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,7124.6,6773.29,Regular,Continental,02-01-2025
Marketing Spend,Advertising,2362.42,,,,Spring Promo,,,,Regular,Continental,1/28/2025
Fixed Cost,Rent,1525.71,,,,,,,,First-timer,Wine,07-06-2024
Projected vs Actual,Expense Monitoring,,,,,,,503.9,209.04,Tourist,Continental,2/20/2025
Employee Salary,Payroll,1888.43,Bartender,Morning,Part-time,,,,,Regular,Wine,12/24/2024
Employee Salary,Payroll,2292.81,Server,Night,Contract,,,,,Seldom,Wine,10-07-2024
