InventoryItem,Category,StockLevel,UsagePerDay,ExpiryInDays,SpoilageRate,Supplier,SupplierLocation,OrganicOrLocal,CostPerUnit,DeliveryTimeDays,OrderFrequencyDays,LeadTimeDays,CustomerOrderTrend,WasteUnits
Heineken,Beverages,37,12,14,0.07,Shannon Valley Produce,Limerick,No,17.78,2,14,9,199,2
Potato Skins,Food ,232,22,28,0.14,Green Isle Distributors,Dublin,No,2.34,2,30,6,136,22
Sauvignon Blanc,Beverages,400,4,28,0.11,Emerald Foods Ltd,Cork,Yes,12.95,5,30,4,286,24
Garlic Parmesan Fries,Food ,374,5,25,0.07,Claddagh Provisions,Galway,Yes,15.77,2,30,1,291,10
Corned Beef,Food ,120,22,4,0.09,Shannon Valley Produce,Limerick,No,12.14,4,14,9,15,4
Guinness,Beverages,263,10,10,0.09,Claddagh Provisions,Galway,Yes,8.62,2,7,8,120,17
Boxty,Food ,160,21,21,0.03,Emerald Foods Ltd,Cork,Yes,17.65,5,30,2,206,1
Guinness,Beverages,192,23,14,0.09,Green Isle Distributors,Dublin,No,16.28,4,3,6,219,12
Potato Skins,Food ,423,7,12,0.07,Claddagh Provisions,Galway,Yes,16.96,4,30,5,287,28
Truffle Fries,Food ,327,15,29,0.08,Shannon Valley Produce,Limerick,No,13.56,4,7,6,12,25
Truffle Mushroom Pizza,Food ,154,8,17,0.09,Green Isle Distributors,Dublin,No,1.58,1,7,4,10,0
BBQ Chicken Pizza,Food ,51,22,9,0.11,Claddagh Provisions,Galway,Yes,1.3,4,7,3,227,3
Rioja,Beverages,272,16,18,0.02,Claddagh Provisions,Galway,Yes,10.68,1,3,7,230,3
Guinness,Beverages,292,18,17,0.08,Shannon Valley Produce,Limerick,No,16.97,5,7,5,193,0
Craft Beer,Beverages,169,24,13,0.14,Green Isle Distributors,Dublin,No,11.64,5,7,8,174,13
Sticky Toffee Pudding,Dessert ,140,1,6,0.11,Emerald Foods Ltd,Cork,Yes,17.91,6,7,5,198,2
Pepperoni Pizza,Food ,320,7,6,0.06,Shannon Valley Produce,Limerick,No,10.27,6,30,2,266,1
Boxty,Food ,430,7,6,0.02,Shannon Valley Produce,Limerick,No,15.48,4,14,2,135,2
Bread Pudding,Dessert ,74,4,27,0.1,Claddagh Provisions,Galway,Yes,2.31,5,30,8,197,4
Truffle Mushroom Pizza,Food ,118,23,15,0.02,Shannon Valley Produce,Limerick,No,8.5,4,7,3,158,1
Pepperoni Pizza,Food ,341,11,7,0.07,Emerald Foods Ltd,Cork,Yes,12.28,6,7,2,269,5
Irish Coffee,Beverages,474,11,12,0.08,Emerald Foods Ltd,Cork,Yes,7.87,4,14,9,111,20
Pinot Noir,Beverages,50,22,22,0.09,Claddagh Provisions,Galway,Yes,12.85,2,7,5,143,1
Kilkenny,Beverages,312,20,21,0.03,Connemara Supplies,Mayo,Yes,6.49,4,30,8,32,9
Corned Beef,Food ,423,11,4,0.1,Claddagh Provisions,Galway,Yes,10.2,4,14,2,57,14
Corned Beef,Food ,297,11,20,0.06,Claddagh Provisions,Galway,Yes,17.41,3,3,5,68,8
Corned Beef,Food ,48,8,27,0.11,Shannon Valley Produce,Limerick,No,6.31,6,30,5,140,5
Smithwick's,Beverages,296,24,25,0.15,Shannon Valley Produce,Limerick,No,9.49,2,14,8,82,41
Sticky Toffee Pudding,Dessert ,72,11,17,0.1,Claddagh Provisions,Galway,Yes,2.46,3,30,4,131,2
Whiskey,Beverages,284,23,4,0.04,Connemara Supplies,Mayo,Yes,13.19,5,30,6,240,3
BBQ Chicken Pizza,Food ,107,5,15,0.14,Shannon Valley Produce,Limerick,No,13.25,3,7,1,296,4
Craft Beer,Beverages,155,16,5,0.03,Emerald Foods Ltd,Cork,Yes,9.22,4,3,1,48,1
Truffle Mushroom Pizza,Food ,436,23,24,0.04,Claddagh Provisions,Galway,Yes,16.18,2,30,7,37,0
Sauvignon Blanc,Beverages,255,24,25,0.1,Green Isle Distributors,Dublin,No,16.27,5,14,3,232,4
Corned Beef,Food ,157,16,21,0.02,Connemara Supplies,Mayo,Yes,4.88,5,7,9,274,1
Bread Pudding,Dessert ,163,3,17,0.1,Connemara Supplies,Mayo,Yes,13.03,1,3,9,12,6
Sticky Toffee Pudding,Dessert ,11,14,14,0.08,Claddagh Provisions,Galway,Yes,18.06,4,3,8,107,0
Irish Coffee,Beverages,186,11,4,0.15,Shannon Valley Produce,Limerick,No,17.44,5,30,9,51,3
BBQ Chicken Pizza,Food ,408,4,18,0.08,Connemara Supplies,Mayo,Yes,8.33,4,14,6,123,21
Corned Beef,Food ,324,7,24,0.07,Claddagh Provisions,Galway,Yes,19.37,3,30,2,91,6
Irish Coffee,Beverages,496,18,8,0.02,Connemara Supplies,Mayo,Yes,17.46,3,14,2,234,6
Whiskey,Beverages,74,1,19,0.07,Shannon Valley Produce,Limerick,No,1.63,5,7,9,55,2
Irish Nachos,Food ,39,18,14,0.12,Claddagh Provisions,Galway,Yes,4.87,5,7,9,71,1
Craft Beer,Beverages,183,3,18,0.05,Green Isle Distributors,Dublin,No,8.81,2,3,1,267,2
Baileys Cheesecake,Dessert ,20,16,28,0.03,Connemara Supplies,Mayo,Yes,9.5,1,30,7,281,0
Craft Beer,Beverages,388,18,16,0.07,Shannon Valley Produce,Limerick,No,1.97,2,7,5,109,7
Shepherd's Pie,Food ,65,22,6,0.14,Emerald Foods Ltd,Cork,Yes,13.63,3,3,4,244,5
Irish Nachos,Food ,312,6,18,0.08,Claddagh Provisions,Galway,Yes,19.06,3,14,1,246,16
Sweet Potato Fries,Food ,31,9,26,0.09,Green Isle Distributors,Dublin,No,9.03,3,30,6,255,0
Craft Beer,Beverages,51,21,11,0.02,Emerald Foods Ltd,Cork,Yes,19.86,1,3,9,50,1
Irish Nachos,Food ,165,13,5,0.07,Emerald Foods Ltd,Cork,Yes,14.92,6,7,8,121,10
Irish Stew,Food ,159,3,8,0.03,Emerald Foods Ltd,Cork,Yes,18.03,1,7,3,58,1
Heineken,Beverages,344,7,28,0.1,Shannon Valley Produce,Limerick,No,11.03,5,14,5,251,2
Bread Pudding,Dessert ,338,3,24,0.13,Green Isle Distributors,Dublin,No,13.58,2,30,7,123,35
Baileys Cheesecake,Dessert ,182,22,25,0.13,Emerald Foods Ltd,Cork,Yes,14.39,1,30,4,177,10
Rioja,Beverages,198,23,20,0.04,Connemara Supplies,Mayo,Yes,12.47,1,3,1,134,3
Boxty,Food ,154,5,29,0.07,Shannon Valley Produce,Limerick,No,17.36,5,30,9,236,2
Potato Skins,Food ,85,9,6,0.03,Emerald Foods Ltd,Cork,Yes,9.08,1,7,6,27,0
Rioja,Beverages,498,23,5,0.07,Emerald Foods Ltd,Cork,Yes,10.32,4,14,6,30,8
Guinness,Beverages,91,24,17,0.12,Claddagh Provisions,Galway,Yes,11.14,1,3,2,280,9
BBQ Chicken Pizza,Food ,350,24,27,0.13,Claddagh Provisions,Galway,Yes,6.6,3,14,5,277,9
Potato Skins,Food ,469,1,14,0.12,Connemara Supplies,Mayo,Yes,19.87,3,14,7,91,41
Sticky Toffee Pudding,Dessert ,105,15,8,0.03,Shannon Valley Produce,Limerick,No,6.88,3,14,5,169,0
Whiskey,Beverages,206,5,13,0.04,Shannon Valley Produce,Limerick,No,19.1,1,7,4,204,1
Chardonnay,Beverages,433,5,4,0.08,Claddagh Provisions,Galway,Yes,14.63,5,14,3,42,7
Irish Coffee,Beverages,275,5,19,0.08,Connemara Supplies,Mayo,Yes,1.55,1,30,8,28,22
Pepperoni Pizza,Food ,385,16,12,0.09,Emerald Foods Ltd,Cork,Yes,1.22,4,14,3,282,31
Craft Beer,Beverages,169,1,8,0.14,Connemara Supplies,Mayo,Yes,8.9,3,7,8,218,22
Pinot Noir,Beverages,134,14,7,0.04,Shannon Valley Produce,Limerick,No,6.85,4,30,7,39,3
BBQ Chicken Pizza,Food ,147,18,9,0.02,Claddagh Provisions,Galway,Yes,12.02,1,14,8,258,1
Sauvignon Blanc,Beverages,74,6,5,0.03,Green Isle Distributors,Dublin,No,11.35,5,30,2,218,2
Pinot Noir,Beverages,435,19,10,0.01,Connemara Supplies,Mayo,Yes,10.19,1,30,2,271,3
Irish Stew,Food ,213,12,27,0.13,Shannon Valley Produce,Limerick,No,13.53,6,7,9,174,6
Chardonnay,Beverages,370,13,6,0.07,Shannon Valley Produce,Limerick,No,10.0,4,3,9,259,5
Corned Beef,Food ,106,20,15,0.02,Connemara Supplies,Mayo,Yes,18.52,4,3,3,52,1
Sauvignon Blanc,Beverages,92,16,24,0.14,Shannon Valley Produce,Limerick,No,3.39,4,14,1,73,1
Boxty,Food ,35,20,27,0.03,Emerald Foods Ltd,Cork,Yes,3.05,5,7,7,167,1
Margherita Pizza,Food ,32,22,13,0.1,Green Isle Distributors,Dublin,No,3.93,4,3,1,289,3
Truffle Fries,Food ,253,17,22,0.05,Claddagh Provisions,Galway,Yes,7.09,5,14,9,96,5
Sauvignon Blanc,Beverages,208,11,10,0.12,Shannon Valley Produce,Limerick,No,17.63,4,30,7,144,7
Rioja,Beverages,40,12,21,0.06,Green Isle Distributors,Dublin,No,15.75,2,30,5,290,2
Craft Beer,Beverages,20,18,29,0.14,Claddagh Provisions,Galway,Yes,5.23,3,14,9,138,0
